LINR;LINAME;NAME1;BELFD;TLNR;AUART;AFTNR;APS;ABSN;ATNR;ARTIKEL;MATERIALNR;URLND;WARTARNR;MENGE;ERFMENGE;GEBINDEME;SNNR;SNNRALT;EINZELEK;LIEFERSCHEINNR;LIEFERDATUM;RENREX;REDAT;BIDSER;BID
72124;BCR Inc.;BCR Inc.;166614;1;REA;2311014;1;488;11853-00-00;11853-00-00 Nut 628248600A;6282486;736;73181660900;1080000;1080000;1080;P24400050;P6282486;38,6;BE2407003;02.10.2024;BE2407003;10.07.2024;22578;627384
70197;Inmetch Industrial Co. Ltd.;INMETCH Industrial CO., LTD.;166106;1;E;IM23A051;1;1328;11924-00-10;11924-00-10 Bush 623399700E Inmetch;6233997;736;73181900900;287600;287600;287,6;P24410016;FW23100042-001A;48,23;IM-240717PG;08.10.2024;IM-240717PG;17.07.2024;22601;627643
70197;Inmetch Industrial Co. Ltd.;INMETCH Industrial CO., LTD.;166106;2;E;IM23A051;1;1329;11924-00-10;11924-00-10 Bush 623399700E Inmetch;6233997;736;73181900900;293100;293100;293,1;P24410017;FW23100042-001B;48,23;IM-240717PG;08.10.2024;IM-240717PG;17.07.2024;22601;627644
70197;Inmetch Industrial Co. Ltd.;INMETCH Industrial CO., LTD.;166106;3;E;IM23A051;1;1330;11924-00-10;11924-00-10 Bush 623399700E Inmetch;6233997;736;73181900900;284400;284400;284,4;P24410018;FW23100042-001C;48,23;IM-240717PG;08.10.2024;IM-240717PG;17.07.2024;22601;627645
70197;Inmetch Industrial Co. Ltd.;INMETCH Industrial CO., LTD.;166213;1;E;IM23A053;1;441;12124-00-00;12124-00-00 Nut 647 6534 00B;6476534;736;73181699900;150000;150000;150;P24410019;IM23A053-1-1;72,8;IM-240717PG;08.10.2024;IM-240717PG;17.07.2024;22601;627646
70197;Inmetch Industrial Co. Ltd.;INMETCH Industrial CO., LTD.;166213;2;E;IM23A053;1;442;12124-00-00;12124-00-00 Nut 647 6534 00B;6476534;736;73181699900;150000;150000;150;P24410020;IM23A053-1-2;72,8;IM-240717PG;08.10.2024;IM-240717PG;17.07.2024;22601;627647
70197;Inmetch Industrial Co. Ltd.;INMETCH Industrial CO., LTD.;166213;3;E;IM23A053;1;443;12124-00-00;12124-00-00 Nut 647 6534 00B;6476534;736;73181699900;75000;75000;75;P24410021;IM23A053-1-3;72,8;IM-240717PG;08.10.2024;IM-240717PG;17.07.2024;22601;627648
70197;Inmetch Industrial Co. Ltd.;INMETCH Industrial CO., LTD.;167315;1;E;IM241001;1;222;11360-00-00;11360-00-00 Pillar Loops Nut 600423588E;6004235;736;73182900900;151200;151200;151,2;P24410022;IM241001;164,35;IM-240717PG;08.10.2024;IM-240717PG;17.07.2024;22601;627649
72124;BCR Inc.;BCR Inc.;167941;1;REA;2402024;1;436;11729-00-00;11729-00-00 NutM6, Nylock 610 5889 00A;6105889;736;73181660900;1003470;1003470;1003,47;P24430043;P2403061;14,79;BE2407009;22.10.2024;BE2407009;24.07.2024;22712;628788
70197;Inmetch Industrial Co. Ltd.;INMETCH Industrial CO., LTD.;166213;4;E;IM23A053;1;476;12124-00-00;12124-00-00 Nut 647 6534 00B;6476534;736;73181699900;75000;75000;75;P24430045;IM23A053-1-3-2;72,8;IM-240731PG;22.10.2024;IM-240731PG;31.07.2024;22710;628792
70197;Inmetch Industrial Co. Ltd.;INMETCH Industrial CO., LTD.;166213;5;E;IM23A053;1;477;12124-00-00;12124-00-00 Nut 647 6534 00B;6476534;736;73181699900;150000;150000;150;P24430046;IM23A053-1-4;72,8;IM-240731PG;22.10.2024;IM-240731PG;31.07.2024;22710;628794
70197;Inmetch Industrial Co. Ltd.;INMETCH Industrial CO., LTD.;166213;6;E;IM23A053;1;478;12124-00-00;12124-00-00 Nut 647 6534 00B;6476534;736;73181699900;155000;155000;155;P24430047;IM23A053-1-5;72,8;IM-240731PG;22.10.2024;IM-240731PG;31.07.2024;22710;628795
72124;BCR Inc.;BCR Inc.;166999;1;E;;1;79;67314;67314 Bushing;10-0000-0010-06;736;73269098900;88273;88273;88,273;P24430041;ST-F2312009;76,5;BE2407011;22.10.2024;BE2407011;31.07.2024;22711;628786
72124;BCR Inc.;BCR Inc.;167289;1;REA;2401003;1;498;11853-00-00;11853-00-00 Nut 628248600A;6282486;736;73181660900;360000;360000;360;P24430042;P6282486;38,6;BE2407011;22.10.2024;BE2407011;31.07.2024;22711;628787
70197;Inmetch Industrial Co. Ltd.;INMETCH Industrial CO., LTD.;167815;1;E;IM242008;1;31;22329-00-00;22329-00-00 Mutter / Nut A0027747;A0027747;736;73182900900;271530;271530;271,53;P24430048;PL24070119;42,51;IM-240731PG;22.10.2024;IM-240731PG;31.07.2024;22710;628796
70197;Inmetch Industrial Co. Ltd.;INMETCH Industrial CO., LTD.;168263;1;E;IM243013;1;28;11715-00-00;11715-00-00 Nut 624 6731 00A;6246731;736;73182900900;155959;155959;155,959;P24430051;IM240313;49,77;IM-240731PG;22.10.2024;IM-240731PG;31.07.2024;22710;628799
72124;BCR Inc.;BCR Inc.;167289;2;REA;2401003;1;515;11853-00-00;11853-00-00 Nut 628248600A;6282486;736;73181660900;720000;720000;720;P24440029;167289-1;38,6;BE2408001;29.10.2024;BE2408001;07.08.2024;22767;629359
70197;Inmetch Industrial Co. Ltd.;INMETCH Industrial CO., LTD.;166681;1;E;IM23C071;1;50;67308;67308 Nut M14x1.5   RAY2027002A;HH-AY2027-002;736;73182900900;75000;75000;75;P24450049;IM23C071;114,68;IM-240821PG;05.11.2024;IM-240821PG;21.08.2024;22769;629785
70197;Inmetch Industrial Co. Ltd.;INMETCH Industrial CO., LTD.;167207;1;E;IM23C075;1;206;12303-00-00;12303-00-00 Spacer 652 8940 00C;6528940;736;73182900900;236450;236450;236,45;P24450050;FW23120107-001A;58,32;IM-240821PG;05.11.2024;IM-240821PG;21.08.2024;22769;629786
